i,is_skipped,mu,est_mu,p_loss,est_p_loss,e_b,est_e_b,e_gb,est_e_gb,delay,est_delay,jitter,est_jitter,beta,correlation
0,False,0.2,0.195827666213297,0.0001,8e-05,2.5,2.1052631578947367,20,19.83508914100486,10,9.985304759097149,1,1.0604327146502257,0.75987498749875,0.0153910206515766
1,False,0.2,0.1958026291575654,0.0001,0.000136,2.5,3.4,20,19.771359321349223,10,9.984758527349772,1,1.0609789463976025,0.75987498749875,0.0200642506887326
2,False,0.2,0.2026867009105019,0.0001,0.000112,2.5,2.333333333333333,20,20.294812737832967,10,9.994218824069335,1,1.051518649678039,0.75987498749875,0.0178864880270514
3,False,0.2,0.197023613069699,0.0001,0.00013,2.5,3.611111111111111,20,20.036411716842963,10,9.986462488392991,1,1.0592749853543817,0.75987498749875,0.0195563786158136
4,False,0.2,0.2034187829036852,0.0001,0.000112,2.5,2.4347826086956523,20,20.524318869828456,10,9.994024103171162,1,1.0517133705762127,0.75987498749875,0.0178879370886487
0,False,0.2,0.2004080693717932,0.0001,0.00017,2.5,3.1481481481481484,20,20.07353235824484,10,9.880724414628723,3,3.119275585371275,0.75987498749875,0.0245913786522203
1,False,0.2,0.1938264048899129,0.0001,6.4e-05,2.5,2.4615384615384617,20,19.342714570858284,10,9.857908783011885,3,3.142091216988117,0.75987498749875,0.0152765114345068
2,False,0.2,0.2057799282709621,0.0001,0.000126,2.5,2.52,20,20.37168316831683,10,9.893541117467953,3,3.1064588825320474,0.75987498749875,0.0209840624043193
3,False,0.2,0.2008400840084008,0.0001,0.0001,2.5,2.9411764705882355,20,20.01395256129161,10,9.878640171532554,3,3.1213598284674458,0.75987498749875,0.0188508243758569
4,False,0.2,0.1989562726652651,0.0001,0.000122,2.5,2.9047619047619047,20,20.192042224928947,10,9.872686674003647,3,3.1273133259963526,0.75987498749875,0.0209019683167867
0,False,0.2,0.2022306944516676,0.0001,0.000132,2.5,2.64,20,20.20423661071143,10,9.85941315740068,5,5.140586842599321,0.75987498749875,0.0221039645298281
1,False,0.2,0.1964529658957491,0.0001,6.6e-05,2.5,1.8333333333333333,20,20.17252002464572,10,9.825820671236787,5,5.174179328763211,0.75987498749875,0.0158229525086306
2,False,0.2,0.2002316203825936,0.0001,8.8e-05,2.5,2.75,20,19.92179104477612,10,9.845651444643304,5,5.154348555356695,0.75987498749875,0.0181086285937663
3,False,0.2,0.1987418112716907,0.0001,0.00015,2.5,2.8846153846153846,20,19.8157159952134,10,9.839595376641316,5,5.160404623358685,0.75987498749875,0.0237189156348999
4,False,0.2,0.204797708557107,0.0001,0.000106,2.5,2.409090909090909,20,20.33121525019857,10,9.870616034417267,5,5.129383965582731,0.75987498749875,0.0197106083810591
0,False,0.2,0.2019974317020774,0.0001,0.000116,2.5,3.0526315789473686,20,19.77810419114767,10,9.810463980138149,10,10.189536019861851,0.75987498749875,0.0217642836034758
1,False,0.2,0.1991987086527864,0.0001,0.000114,2.5,2.375,20,20.062046736502825,10,9.786957761088368,10,10.213042238911632,0.75987498749875,0.021705032312426
2,False,0.2,0.2001472111880503,0.0001,7.6e-05,2.5,2.375,20,20.17459677419355,10,9.794565245771746,10,10.205434754228254,0.75987498749875,0.0176780905436443
3,False,0.2,0.2068696533971242,0.0001,6.6e-05,2.5,2.2,20,20.110441376628422,10,9.863184358776126,10,10.136815641223874,0.75987498749875,0.0162102176714924
4,False,0.2,0.2030362732645938,0.0001,9e-05,2.5,2.647058823529412,20,19.88033685859773,10,9.819797436293316,10,10.180202563706684,0.75987498749875,0.0191151954326803
0,False,0.2,0.2057796900722711,0.0001,0.000154,2.5,2.75,20,20.587152291374824,25,25.110579595069105,1,1.6851578786782753,0.75987498749875,0.0132255848372866
1,False,0.2,0.1998759888389955,0.0001,9e-05,2.5,2.5,20,20.16730575176589,25,25.10125137684252,1,1.694486096904864,0.75987498749875,0.0102634924244694
2,False,0.2,0.2035316449872684,0.0001,0.000126,2.5,2.423076923076923,20,20.077545382794,25,25.10729203709394,1,1.6884454366534385,0.75987498749875,0.0120071025389598
3,False,0.2,0.199717957693654,0.0001,0.00015,2.5,4.166666666666667,20,20.13389796329905,25,25.099834763603152,1,1.695902710144228,0.75987498749875,0.0133165367013284
4,False,0.2,0.1985306324921041,0.0001,0.000114,2.5,3.3529411764705883,20,19.846830633873225,25,25.097619941908167,1,1.6981175318392123,0.75987498749875,0.0116220213124683
0,False,0.2,0.1989310866951897,0.0001,0.000106,2.5,2.3043478260869565,20,20.15707336846372,25,24.821114789071032,3,3.178885210928968,0.75987498749875,0.021565630413089
1,False,0.2,0.2036623662366236,0.0001,0.0001,2.5,2.5,20,20.027734067663257,25,24.8361011673452,3,3.163898832654798,0.75987498749875,0.0207930544450039
2,False,0.2,0.2042520166976363,0.0001,9.8e-05,2.5,1.96,20,20.06996855345912,25,24.83733792821982,3,3.162662071780179,0.75987498749875,0.0205440690096794
3,False,0.2,0.2006884771094362,0.0001,0.000112,2.5,2.0,20,20.372182741116752,25,24.82598793434275,3,3.1740120656572515,0.75987498749875,0.0221025927617896
4,False,0.2,0.1973641311413764,0.0001,0.000102,2.5,2.125,20,19.651862178848837,25,24.81950686016545,3,3.180493139834549,0.75987498749875,0.02121863831814
0,False,0.2,0.1957088738744144,0.0001,7.6e-05,2.5,2.0,20,19.87548242941296,25,24.763050664530653,5,5.236949335469348,0.75987498749875,0.0180223999589414
