no,seq,time_epoch,retransmission,out_of_order
16,0,1716238932.011897000,,
19,1,1716238932.022830000,,
27,38,1716238932.044897000,,
28,1359,1716238932.044922000,,
29,2680,1716238932.045021000,,
30,4001,1716238932.045134000,,
31,5322,1716238932.045240000,,
32,6643,1716238932.045343000,,
33,7964,1716238932.045449000,,
34,9285,1716238932.045555000,,
35,10606,1716238932.045658000,,
36,11927,1716238932.045787000,,
44,13248,1716238932.056502000,,
48,14569,1716238932.056618000,,
49,15890,1716238932.056799000,,
50,17211,1716238932.056916000,,
51,18532,1716238932.057033000,,
52,19853,1716238932.057183000,,
53,21174,1716238932.057291000,,
54,22495,1716238932.057411000,,
55,23816,1716238932.057520000,,
56,25137,1716238932.057644000,,
57,26458,1716238932.057755000,,
58,27779,1716238932.057867000,,
59,29100,1716238932.057978000,,
60,30421,1716238932.058103000,,
61,31742,1716238932.058210000,,
62,33063,1716238932.058337000,,
63,34384,1716238932.058431000,,
64,35705,1716238932.058546000,,
65,37026,1716238932.058681000,,
66,38347,1716238932.058789000,,
68,39668,1716238932.068242000,,
80,40989,1716238932.069307000,,
81,42310,1716238932.069499000,,
82,43631,1716238932.069616000,,
83,44952,1716238932.069665000,,
84,46273,1716238932.069732000,,
85,47594,1716238932.069789000,,
86,48915,1716238932.069847000,,
87,50236,1716238932.069923000,,
88,51557,1716238932.069953000,,
89,52878,1716238932.070010000,,
90,54199,1716238932.070081000,,
91,55520,1716238932.070133000,,
92,56841,1716238932.070184000,,
93,58162,1716238932.070247000,,
94,59483,1716238932.070298000,,
95,60804,1716238932.070377000,,
96,62125,1716238932.070442000,,
97,63446,1716238932.070512000,,
98,64767,1716238932.070591000,,
99,66088,1716238932.070624000,,
100,67409,1716238932.070663000,,
101,68730,1716238932.070736000,,
102,70051,1716238932.070784000,,
103,71372,1716238932.070836000,,
104,72693,1716238932.070888000,,
105,74014,1716238932.070943000,,
106,75335,1716238932.071011000,,
107,76656,1716238932.071061000,,
108,77977,1716238932.071129000,,
109,79298,1716238932.071184000,,
111,80619,1716238932.079135000,,
114,81940,1716238932.079492000,,
115,83261,1716238932.079778000,,
116,84582,1716238932.079836000,,
117,85903,1716238932.079919000,,
118,87224,1716238932.079964000,,
119,88545,1716238932.080048000,,
120,89866,1716238932.080116000,,
123,91187,1716238932.081025000,,
136,92508,1716238932.081220000,,
137,93829,1716238932.081300000,,
138,95150,1716238932.081369000,,
139,96471,1716238932.081438000,,
140,97792,1716238932.081501000,,
141,99113,1716238932.081569000,,
142,100434,1716238932.081635000,,
143,101755,1716238932.081700000,,
144,103076,1716238932.081768000,,
145,104397,1716238932.081834000,,
146,105718,1716238932.081901000,,
147,107039,1716238932.081967000,,
148,108360,1716238932.082032000,,
149,109681,1716238932.082103000,,
150,111002,1716238932.082169000,,
151,112323,1716238932.082260000,,
152,113644,1716238932.082315000,,
159,114965,1716238932.082484000,,
160,116286,1716238932.082538000,,
161,117607,1716238932.082619000,,
162,118928,1716238932.082684000,,
163,120249,1716238932.082747000,,
164,121570,1716238932.082815000,,
165,122891,1716238932.082879000,,
166,124212,1716238932.082944000,,
