no,seq,time_epoch,retransmission,out_of_order
44,0,1716238932.058581000,,
48,1,1716238932.068785000,,
56,38,1716238932.091138000,,
58,1359,1716238932.091156000,,
60,2680,1716238932.091362000,,
62,4001,1716238932.091433000,,
64,5322,1716238932.091569000,,
66,6643,1716238932.091644000,,
68,7964,1716238932.091738000,,
70,9285,1716238932.091840000,,
72,10606,1716238932.092040000,,
74,11927,1716238932.092153000,,
76,13248,1716238932.102668000,,
78,14569,1716238932.102736000,,
80,15890,1716238932.102837000,,
82,17211,1716238932.102871000,,
84,18532,1716238932.103774000,,
86,19853,1716238932.103840000,,
87,21174,1716238932.103945000,,
89,22495,1716238932.104032000,,
90,23816,1716238932.104149000,,
92,25137,1716238932.104266000,,
93,26458,1716238932.104368000,,
95,27779,1716238932.104484000,,
96,29100,1716238932.104625000,,
98,30421,1716238932.104741000,,
99,31742,1716238932.104885000,,
101,33063,1716238932.104994000,,
102,34384,1716238932.105070000,,
104,35705,1716238932.105169000,,
105,37026,1716238932.105388000,,
107,38347,1716238932.105519000,,
108,39668,1716238932.114818000,,
110,40989,1716238932.114914000,,
112,42310,1716238932.115011000,,
114,43631,1716238932.115846000,,
116,44952,1716238932.115958000,,
118,46273,1716238932.116063000,,
120,47594,1716238932.116176000,,
122,48915,1716238932.116287000,,
124,50236,1716238932.116369000,,
126,51557,1716238932.116482000,,
128,52878,1716238932.116626000,,
130,54199,1716238932.116721000,,
132,55520,1716238932.116856000,,
134,56841,1716238932.116965000,,
136,59483,1716238932.117219000,,
138,70051,1716238932.117303000,,
140,71372,1716238932.117436000,,
142,72693,1716238932.117549000,,
144,74014,1716238932.117654000,,
146,75335,1716238932.117754000,,
148,76656,1716238932.117832000,,
150,77977,1716238932.117985000,,
152,79298,1716238932.118108000,,
154,80619,1716238932.124598000,,
156,81940,1716238932.124692000,,
158,83261,1716238932.125840000,,
160,84582,1716238932.125986000,,
162,85903,1716238932.126126000,,
164,87224,1716238932.126210000,,
166,88545,1716238932.126259000,,
168,89866,1716238932.126491000,,
170,91187,1716238932.127132000,,
172,92508,1716238932.127257000,,
174,93829,1716238932.127322000,,
176,95150,1716238932.127465000,,
178,96471,1716238932.127575000,,
180,97792,1716238932.127722000,,
182,99113,1716238932.127770000,,
184,100434,1716238932.127894000,,
186,101755,1716238932.128015000,,
188,103076,1716238932.128223000,,
190,104397,1716238932.128335000,,
192,107039,1716238932.128480000,,
194,109681,1716238932.128493000,,
196,111002,1716238932.128612000,,
198,112323,1716238932.128792000,,
200,113644,1716238932.128908000,,
202,114965,1716238932.128991000,,
204,116286,1716238932.129067000,,
206,117607,1716238932.129173000,,
208,118928,1716238932.129309000,,
210,124212,1716238932.129542000,,
212,126854,1716238932.129706000,,
214,128175,1716238932.129831000,,
216,130817,1716238932.130009000,,
218,58162,1716238932.130134000,1,
220,132138,1716238932.137242000,,
